"park","order","labels","metgrp","sign","num_crit","park_reggrp","label_order","park_dm","park_ord"
"CATO",1,"Sapling Density","Regen. Status","critical",9,"Imminent Failure","Sapling Density","CATO*","CATO*"
"CATO",2,"Seedling Density","Regen. Status","critical",9,"Imminent Failure","Seedling Density","CATO*","CATO*"
"CATO",3,"% Stocked Plots","Regen. Status","critical",9,"Imminent Failure","% Stocked Plots","CATO*","CATO*"
"CATO",4,"Stocking Index","Regen. Status","critical",9,"Imminent Failure","Stocking Index","CATO*","CATO*"
"CATO",9,"Deer Browse Impacts","Regen. Status","critical",9,"Imminent Failure","Deer Browse Impacts","CATO*","CATO*"
"CATO",10,"Flat Tree Diam. Dist.","Regen. Status","acceptable",9,"Imminent Failure","Flat Tree Diam. Dist.","CATO*","CATO*"
"CATO",5,"Sapling Composition","Regen. Status","critical",9,"Imminent Failure","Sapling Composition","CATO*","CATO*"
"CATO",6,"Seedling Composition","Regen. Status","critical",9,"Imminent Failure","Seedling Composition","CATO*","CATO*"
"CATO",7,"Sorensen Sapling","Regen. Status","critical",9,"Imminent Failure","Sorensen Sapling","CATO*","CATO*"
"CATO",8,"Sorensen Seedling","Regen. Status","critical",9,"Imminent Failure","Sorensen Seedling","CATO*","CATO*"
"CATO",10,"Tree BA","Native Canopy 
 Trends","nonsign",9,"Imminent Failure","Tree BA","CATO*","CATO*"
"CATO",11,"Tree Density","Native Canopy 
 Trends","signdec_bad",9,"Imminent Failure","Tree Density","CATO*","CATO*"
"CATO",12,"Sapling BA","Native Canopy 
 Trends","signdec_bad",9,"Imminent Failure","Sapling BA","CATO*","CATO*"
"CATO",13,"Sapling Density","Native Canopy 
 Trends","signdec_bad",9,"Imminent Failure","Sapling Density","CATO*","CATO*"
"CATO",14,"Seedling Density","Native Canopy 
 Trends","signinc_good",9,"Imminent Failure","Seedling Density","CATO*","CATO*"
"CATO",15,"Stocking Index","Native Canopy 
 Trends","nonsign",9,"Imminent Failure","Stocking Index","CATO*","CATO*"
"CATO",16,"Tree BA","Native Subcan. 
 Trends","signdec_bad",9,"Imminent Failure","Tree BA","CATO*","CATO*"
"CATO",17,"Tree Density","Native Subcan. 
 Trends","nonsign",9,"Imminent Failure","Tree Density","CATO*","CATO*"
"CATO",18,"Sapling BA","Native Subcan. 
 Trends","nonsign",9,"Imminent Failure","Sapling BA","CATO*","CATO*"
"CATO",19,"Sapling Density","Native Subcan. 
 Trends","nonsign",9,"Imminent Failure","Sapling Density","CATO*","CATO*"
"CATO",20,"Seedling Density","Native Subcan. 
 Trends","signinc_good",9,"Imminent Failure","Seedling Density","CATO*","CATO*"
"CATO",21,"Tree BA","Exotic 
 Trends","notmod",9,"Imminent Failure","Tree BA","CATO*","CATO*"
"CATO",22,"Tree Density","Exotic 
 Trends","notmod",9,"Imminent Failure","Tree Density","CATO*","CATO*"
"CATO",23,"Sapling BA","Exotic 
 Trends","notmod",9,"Imminent Failure","Sapling BA","CATO*","CATO*"
"CATO",24,"Sapling Density","Exotic 
 Trends","notmod",9,"Imminent Failure","Sapling Density","CATO*","CATO*"
"CATO",25,"Seedling Density","Exotic 
 Trends","notmod",9,"Imminent Failure","Seedling Density","CATO*","CATO*"
"HAFE",1,"Sapling Density","Regen. Status","critical",8,"Imminent Failure","Sapling Density","HAFE*","HAFE*"
"HAFE",2,"Seedling Density","Regen. Status","critical",8,"Imminent Failure","Seedling Density","HAFE*","HAFE*"
"HAFE",3,"% Stocked Plots","Regen. Status","critical",8,"Imminent Failure","% Stocked Plots","HAFE*","HAFE*"
"HAFE",4,"Stocking Index","Regen. Status","critical",8,"Imminent Failure","Stocking Index","HAFE*","HAFE*"
"HAFE",9,"Deer Browse Impacts","Regen. Status","critical",8,"Imminent Failure","Deer Browse Impacts","HAFE*","HAFE*"
"HAFE",10,"Flat Tree Diam. Dist.","Regen. Status","acceptable",8,"Imminent Failure","Flat Tree Diam. Dist.","HAFE*","HAFE*"
"HAFE",5,"Sapling Composition","Regen. Status","critical",8,"Imminent Failure","Sapling Composition","HAFE*","HAFE*"
"HAFE",6,"Seedling Composition","Regen. Status","critical",8,"Imminent Failure","Seedling Composition","HAFE*","HAFE*"
